case,label,model,source_file,o3col_du,z_km,t_k,p_bar,o3_vmr,n_o3_cm3
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,65.75,228.7,9.697e-05,8.759e-07,2689939266.8941345
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,66.25,227.3,9.011e-05,8.36e-07,2400471470.28376
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,66.75,225.8,8.37e-05,7.97e-07,2139816633.5582612
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,67.25,224.4,7.771e-05,7.584e-07,1902256593.168578
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,67.75,223.0,7.211e-05,7.201e-07,1686553649.671619
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,68.25,221.6,6.688e-05,6.818e-07,1490391011.1880543
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,68.75,220.2,6.201e-05,6.43e-07,1311511511.775048
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,69.25,218.8,5.746e-05,6.034e-07,1147731568.5689576
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,69.75,217.4,5.322e-05,5.628e-07,997897964.0205113
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,70.25,216.0,4.927e-05,5.207e-07,860266688.052208
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,70.75,214.8,4.559e-05,4.781e-07,734971969.4950414
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,71.25,213.5,4.217e-05,4.362e-07,624033781.1602069
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,71.75,212.3,3.899e-05,3.96e-07,526762856.74270844
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,72.25,211.0,3.603e-05,3.581e-07,442897108.7053747
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,72.75,209.7,3.328e-05,3.233e-07,371627042.44908106
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,73.25,208.7,3.073e-05,2.914e-07,310775215.26274085
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,73.75,207.7,2.836e-05,2.624e-07,259507717.58437985
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,74.25,206.8,2.617e-05,2.374e-07,217595855.98303258
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,74.75,205.9,2.414e-05,2.158e-07,183252149.20788997
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,75.25,205.0,2.225e-05,1.973e-07,155102913.86647096
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,75.75,204.1,2.051e-05,1.814e-07,132031225.9015862
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,76.25,203.4,1.89e-05,1.673e-07,112596142.98231438
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,76.75,203.0,1.741e-05,1.544e-07,95910630.62093091
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,77.25,202.7,1.604e-05,1.43e-07,81960268.04169255
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,77.75,202.3,1.477e-05,1.328e-07,70226238.1438932
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,78.25,201.9,1.36e-05,1.24e-07,60497996.42520913
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,78.75,201.5,1.252e-05,1.174e-07,52834073.08714762
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,79.25,201.4,1.153e-05,1.141e-07,47312097.570497446
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,79.75,201.5,1.061e-05,1.161e-07,44278129.94560204
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,80.25,201.5,9.771e-06,1.26e-07,44253866.89300487
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,80.75,201.6,8.996e-06,1.455e-07,47026063.89838264
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,81.25,201.7,8.283e-06,1.761e-07,52379076.42303202
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,81.75,201.8,7.627e-06,2.185e-07,59813710.32455535
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,82.25,202.0,7.024e-06,2.725e-07,68630372.70554973
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,82.75,202.4,6.469e-06,3.38e-07,78245624.4005565
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,83.25,202.7,5.959e-06,4.157e-07,88514899.08496565
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,83.75,203.0,5.49e-06,5.055e-07,99018007.69094288
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,84.25,203.4,5.059e-06,6.073e-07,109404133.11516365
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,84.75,203.7,4.662e-06,7.202e-07,119385360.32729204
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,85.25,203.9,4.297e-06,8.458e-07,129101867.95104867
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,85.75,204.0,3.961e-06,9.826e-07,138187306.5975977
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,86.25,204.1,3.652e-06,1.127e-06,146059025.0945574
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,86.75,204.3,3.367e-06,1.276e-06,152314812.94321182
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,87.25,204.4,3.104e-06,1.425e-06,156737315.0026799
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,87.75,204.5,2.863e-06,1.573e-06,159504696.7042311
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,88.25,204.4,2.64e-06,1.724e-06,161278700.03856874
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,88.75,204.1,2.435e-06,1.874e-06,161935573.8808829
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,89.25,203.9,2.246e-06,2.012e-06,160522982.34134197
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,89.75,203.6,2.071e-06,2.135e-06,157295725.87998214
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,90.25,203.3,1.91e-06,2.239e-06,152358539.01691863
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,90.75,203.1,1.762e-06,2.323e-06,145969428.53981495
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,91.25,202.7,1.625e-06,2.393e-06,138950154.0352034
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,91.75,202.2,1.498e-06,2.445e-06,131197706.43794744
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,92.25,201.7,1.382e-06,2.473e-06,122727808.28498963
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,92.75,201.2,1.274e-06,2.477e-06,113601528.68551764
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,93.25,200.8,1.175e-06,2.459e-06,104219600.52916853
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,93.75,200.3,1.084e-06,2.419e-06,94820211.25949982
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,94.25,199.9,9.993e-07,2.354e-06,85232704.49195416
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,94.75,199.5,9.216e-07,2.27e-06,75952511.75244123
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,95.25,199.1,8.5e-07,2.172e-06,67162090.2396429
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,95.75,198.8,7.839e-07,2.063e-06,58919659.67837716
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,96.25,198.4,7.231e-07,1.946e-06,51370790.28915783
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,96.75,198.0,6.67e-07,1.822e-06,44455523.994494446
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,97.25,198.2,6.154e-07,1.669e-06,37534176.83525703
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,97.75,198.5,5.68e-07,1.516e-06,31419823.655998904
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,98.25,198.8,5.244e-07,1.37e-06,26174812.98741211
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,98.75,199.0,4.842e-07,1.23e-06,21676718.484200153
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,99.25,199.3,4.473e-07,1.098e-06,17848867.14291757
pal100,100% PAL,atmos,PTZ_mixingratios_out.dist,259.2118,99.75,199.7,4.134e-07,9.73e-07,14588880.435778512
