case,label,model,sza_deg,o3col_du,source_file,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
pal1,1% PAL,photochem,20.0,148.1953,Earth_1pc_48.2.txt,3.091,4.902,59.81,0.02484,23.49,0.8775,1.609,2.027
pal1,1% PAL,photochem,25.0,148.1953,Earth_1pc_48.2.txt,2.871,4.584,57.02,0.02194,21.4,0.7948,1.492,1.892
pal1,1% PAL,photochem,30.0,148.1953,Earth_1pc_48.2.txt,2.615,4.21,53.68,0.01877,19.03,0.7014,1.359,1.736
pal1,1% PAL,photochem,35.0,148.1953,Earth_1pc_48.2.txt,2.331,3.793,49.84,0.01551,16.48,0.6014,1.213,1.563
pal1,1% PAL,photochem,40.0,148.1953,Earth_1pc_48.2.txt,2.027,3.342,45.54,0.01233,13.86,0.4991,1.059,1.38
pal1,1% PAL,photochem,45.0,148.1953,Earth_1pc_48.2.txt,1.713,2.871,40.86,0.009386,11.28,0.3992,0.9033,1.192
pal1,1% PAL,photochem,50.0,148.1953,Earth_1pc_48.2.txt,1.4,2.393,35.87,0.006808,8.837,0.3055,0.7499,1.005
pal1,1% PAL,photochem,55.0,148.1953,Earth_1pc_48.2.txt,1.099,1.925,30.66,0.004672,6.633,0.222,0.6039,0.8224
pal1,1% PAL,photochem,60.0,148.1953,Earth_1pc_48.2.txt,0.8206,1.481,25.35,0.00301,4.734,0.1515,0.4691,0.6505
pal1,1% PAL,photochem,65.0,148.1953,Earth_1pc_48.2.txt,0.5752,1.078,20.08,0.001805,3.184,0.09561,0.349,0.4933
pal1,1% PAL,photochem,70.0,148.1953,Earth_1pc_48.2.txt,0.3714,0.729,15.02,0.0009997,1.996,0.05485,0.2458,0.354
pal1,1% PAL,photochem,75.0,148.1953,Earth_1pc_48.2.txt,0.2144,0.446,10.35,0.0005097,1.147,0.02804,0.1607,0.2356
pal1,1% PAL,photochem,80.0,148.1953,Earth_1pc_48.2.txt,0.1055,0.2343,6.306,0.0002401,0.5874,0.01266,0.09384,0.1396
pal1,1% PAL,photochem,85.0,148.1953,Earth_1pc_48.2.txt,0.04072,0.09432,3.024,0.0001029,0.2486,0.005104,0.04368,0.06579
pal1,1% PAL,vulcan,0.0,115.8874,Earth_1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,4.091,6.151,65.06,0.05136,37.15,1.443,2.237,2.69
