case,model,wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85
pal1,vulcan,615.0,1.587,1.58,1.56,1.527,1.481,1.421,1.352,1.269,1.176,1.074,0.9617,0.8419,0.7154,0.5839,0.4494,0.3151,0.187,0.07874
pal1,vulcan,620.0,1.609,1.603,1.582,1.549,1.502,1.443,1.371,1.288,1.194,1.09,0.9765,0.8552,0.7271,0.5939,0.4575,0.3213,0.191,0.08064
pal1,vulcan,625.0,1.574,1.568,1.548,1.515,1.47,1.412,1.342,1.261,1.169,1.067,0.9564,0.8379,0.7128,0.5825,0.4492,0.3158,0.1881,0.07952
pal1,vulcan,630.0,1.576,1.57,1.55,1.517,1.471,1.413,1.344,1.262,1.171,1.069,0.9585,0.84,0.7149,0.5847,0.4512,0.3177,0.1896,0.08029
pal1,vulcan,635.0,1.565,1.558,1.538,1.506,1.461,1.403,1.334,1.254,1.163,1.062,0.9526,0.8352,0.7111,0.582,0.4496,0.3169,0.1895,0.08044
pal1,vulcan,640.0,1.546,1.54,1.52,1.488,1.444,1.387,1.319,1.24,1.15,1.05,0.9424,0.8265,0.7041,0.5766,0.4459,0.3148,0.1886,0.08024
pal1,vulcan,644.8,1.537,1.53,1.511,1.479,1.435,1.379,1.311,1.233,1.144,1.045,0.9377,0.8227,0.7012,0.5745,0.4446,0.3143,0.1886,0.08042
pal1,vulcan,651.05,1.517,1.511,1.492,1.46,1.417,1.362,1.295,1.217,1.13,1.032,0.9268,0.8134,0.6936,0.5687,0.4406,0.3118,0.1875,0.08009
pal1,vulcan,660.0,1.439,1.433,1.415,1.385,1.344,1.292,1.229,1.155,1.072,0.9805,0.8805,0.7732,0.6598,0.5416,0.4201,0.2979,0.1797,0.07695
pal1,vulcan,670.0,1.476,1.47,1.452,1.421,1.379,1.326,1.261,1.186,1.101,1.007,0.905,0.7953,0.6791,0.558,0.4335,0.3081,0.1864,0.08008
pal1,vulcan,680.0,1.449,1.443,1.425,1.395,1.354,1.302,1.239,1.165,1.082,0.99,0.8898,0.7823,0.6685,0.5498,0.4277,0.3045,0.1847,0.07957
pal1,vulcan,690.0,1.428,1.422,1.404,1.375,1.335,1.283,1.221,1.149,1.067,0.9766,0.878,0.7723,0.6604,0.5436,0.4233,0.3019,0.1836,0.07924
pal1,vulcan,700.0,1.403,1.397,1.38,1.351,1.311,1.261,1.2,1.129,1.049,0.9604,0.8638,0.7601,0.6504,0.5357,0.4177,0.2984,0.1819,0.07868
pal1,vulcan,710.0,1.369,1.364,1.347,1.319,1.281,1.231,1.172,1.103,1.025,0.9386,0.8444,0.7433,0.6363,0.5245,0.4093,0.2928,0.1788,0.07743
pal1,vulcan,720.0,1.324,1.319,1.303,1.276,1.238,1.191,1.134,1.067,0.9918,0.9083,0.8174,0.7198,0.6165,0.5085,0.3971,0.2844,0.174,0.07541
