case,model,wavelength_nm,sza_0,sza_5,sza_10,sza_15,sza_20,sza_25,sza_30,sza_35,sza_40,sza_45,sza_50,sza_55,sza_60,sza_65,sza_70,sza_75,sza_80,sza_85,irradiance_col1
pal100,waccm_eq,356.5,0.767,0.7632,0.7518,0.733,0.707,0.6741,0.6347,0.5893,0.5386,0.4833,0.4244,0.3629,0.3002,0.238,0.1783,0.1234,0.07578,0.03669,
pal100,waccm_eq,357.5,0.652,0.6487,0.6391,0.6231,0.601,0.5731,0.5396,0.5011,0.458,0.4111,0.361,0.3087,0.2555,0.2025,0.1517,0.105,0.06444,0.03119,
pal100,waccm_eq,358.5,0.5029,0.5004,0.4929,0.4806,0.4636,0.4421,0.4163,0.3867,0.3535,0.3173,0.2787,0.2384,0.1973,0.1565,0.1172,0.08116,0.0498,0.02412,
pal100,waccm_eq,359.5,0.846,0.8418,0.8293,0.8086,0.7801,0.7439,0.7006,0.6507,0.5949,0.5341,0.4692,0.4014,0.3323,0.2636,0.1975,0.1367,0.08386,0.04061,
pal100,waccm_eq,360.5,0.7838,0.7799,0.7684,0.7493,0.7228,0.6894,0.6493,0.6031,0.5515,0.4952,0.4351,0.3723,0.3082,0.2445,0.1832,0.1268,0.07778,0.03766,
pal100,waccm_eq,361.5,0.7063,0.7029,0.6925,0.6753,0.6515,0.6213,0.5853,0.5437,0.4972,0.4465,0.3924,0.3359,0.2781,0.2207,0.1654,0.1145,0.0702,0.03401,
pal100,waccm_eq,362.5,0.8291,0.825,0.8128,0.7927,0.7648,0.7295,0.6872,0.6385,0.584,0.5245,0.461,0.3946,0.3268,0.2594,0.1944,0.1345,0.08251,0.03998,
pal100,waccm_eq,363.5,0.7373,0.7336,0.7228,0.7049,0.6801,0.6488,0.6112,0.5679,0.5195,0.4667,0.4102,0.3512,0.2909,0.2309,0.1731,0.1198,0.07345,0.03559,
pal100,waccm_eq,364.5,0.804,0.8,0.7882,0.7687,0.7418,0.7076,0.6667,0.6195,0.5668,0.5092,0.4477,0.3833,0.3176,0.2521,0.189,0.1308,0.08015,0.03883,
pal100,waccm_eq,365.5,0.9793,0.9745,0.9601,0.9364,0.9036,0.862,0.8123,0.7549,0.6907,0.6206,0.5457,0.4673,0.3872,0.3074,0.2304,0.1594,0.09769,0.0473,
pal100,waccm_eq,366.5,1.036,1.031,1.016,0.9907,0.956,0.9121,0.8595,0.7989,0.731,0.6569,0.5777,0.4949,0.4101,0.3256,0.2441,0.1689,0.1035,0.05011,
pal100,waccm_eq,367.5,0.9832,0.9784,0.9641,0.9403,0.9075,0.8658,0.816,0.7585,0.6941,0.6239,0.5487,0.4701,0.3897,0.3095,0.232,0.1605,0.09833,0.04763,
pal100,waccm_eq,368.5,0.8634,0.8592,0.8466,0.8258,0.797,0.7605,0.7167,0.6663,0.6098,0.5482,0.4822,0.4132,0.3426,0.2721,0.204,0.1411,0.08642,0.04185,
pal100,waccm_eq,369.5,1.035,1.03,1.015,0.9902,0.9557,0.912,0.8596,0.7992,0.7316,0.6577,0.5786,0.4959,0.4112,0.3266,0.2449,0.1694,0.1037,0.05022,
pal100,waccm_eq,370.5,0.9389,0.9344,0.9207,0.8981,0.8669,0.8273,0.7798,0.7251,0.6638,0.5968,0.5252,0.4502,0.3733,0.2966,0.2224,0.1538,0.09415,0.04558,
pal100,waccm_eq,371.5,1.074,1.069,1.053,1.027,0.9916,0.9464,0.8921,0.8296,0.7596,0.683,0.6011,0.5153,0.4274,0.3396,0.2547,0.1762,0.1078,0.05218,
pal100,waccm_eq,372.5,0.793,0.7891,0.7776,0.7586,0.7323,0.6989,0.6589,0.6128,0.5611,0.5046,0.4442,0.3809,0.316,0.2511,0.1883,0.1303,0.07967,0.03856,
pal100,waccm_eq,373.5,0.7165,0.713,0.7027,0.6855,0.6617,0.6316,0.5955,0.5539,0.5072,0.4562,0.4016,0.3444,0.2858,0.2271,0.1704,0.1178,0.07205,0.03486,
pal100,waccm_eq,374.5,0.7861,0.7823,0.771,0.7521,0.7261,0.6931,0.6535,0.6079,0.5567,0.5008,0.441,0.3782,0.3139,0.2495,0.1872,0.1294,0.07912,0.03828,
pal100,waccm_eq,375.5,0.8867,0.8824,0.8696,0.8484,0.819,0.7818,0.7373,0.6858,0.6282,0.5652,0.4977,0.4269,0.3544,0.2817,0.2114,0.1462,0.08932,0.04321,
pal100,waccm_eq,376.5,0.8851,0.8808,0.868,0.8469,0.8176,0.7806,0.7361,0.6848,0.6274,0.5645,0.4972,0.4266,0.3541,0.2816,0.2113,0.1461,0.08925,0.04317,
pal100,waccm_eq,377.5,1.054,1.049,1.033,1.008,0.9734,0.9293,0.8765,0.8155,0.7471,0.6723,0.5922,0.5082,0.422,0.3356,0.2518,0.1741,0.1063,0.05142,
pal100,waccm_eq,378.5,1.148,1.142,1.126,1.099,1.061,1.013,0.9552,0.8888,0.8144,0.7329,0.6457,0.5542,0.4602,0.3661,0.2747,0.1899,0.116,0.05606,
pal100,waccm_eq,379.5,0.849,0.8449,0.8327,0.8125,0.7845,0.7491,0.7066,0.6575,0.6025,0.5424,0.4779,0.4102,0.3407,0.271,0.2034,0.1406,0.08584,0.04149,
pal100,waccm_eq,380.5,1.021,1.016,1.001,0.9769,0.9433,0.9007,0.8497,0.7908,0.7247,0.6524,0.5749,0.4936,0.41,0.3262,0.2449,0.1693,0.1033,0.04992,
pal100,waccm_eq,381.5,0.9588,0.9542,0.9405,0.9177,0.8862,0.8463,0.7984,0.7431,0.6811,0.6132,0.5404,0.4641,0.3856,0.3068,0.2303,0.1592,0.09712,0.04692,
pal100,waccm_eq,382.5,0.6387,0.6356,0.6265,0.6113,0.5904,0.5638,0.5319,0.4951,0.4539,0.4087,0.3602,0.3094,0.2571,0.2046,0.1536,0.1062,0.06476,0.03128,
pal100,waccm_eq,383.5,0.5607,0.558,0.55,0.5367,0.5183,0.495,0.467,0.4348,0.3986,0.3589,0.3164,0.2718,0.2259,0.1798,0.135,0.09331,0.0569,0.02747,
pal100,waccm_eq,384.5,0.8412,0.8371,0.8251,0.8052,0.7777,0.7427,0.7008,0.6525,0.5982,0.5388,0.4751,0.4081,0.3392,0.2701,0.2028,0.1402,0.08544,0.04125,
pal100,waccm_eq,385.5,0.832,0.828,0.8161,0.7964,0.7692,0.7347,0.6933,0.6455,0.5919,0.5332,0.4702,0.404,0.3359,0.2674,0.2008,0.1388,0.08458,0.04082,
pal100,waccm_eq,386.5,0.8478,0.8437,0.8317,0.8117,0.7839,0.7488,0.7067,0.658,0.6034,0.5436,0.4794,0.412,0.3426,0.2728,0.2049,0.1416,0.08627,0.04163,
pal100,waccm_eq,387.5,0.7877,0.7839,0.7727,0.7541,0.7284,0.6958,0.6567,0.6115,0.5608,0.5053,0.4457,0.3831,0.3186,0.2538,0.1906,0.1317,0.08022,0.0387,
pal100,waccm_eq,388.5,0.7893,0.7855,0.7743,0.7557,0.73,0.6973,0.6582,0.613,0.5622,0.5066,0.4469,0.3842,0.3196,0.2546,0.1912,0.1321,0.08046,0.0388,
pal100,waccm_eq,389.5,0.9951,0.9903,0.9762,0.9528,0.9204,0.8793,0.83,0.773,0.7091,0.639,0.5638,0.4847,0.4033,0.3213,0.2414,0.1668,0.1015,0.04895,
pal100,waccm_eq,390.5,0.9771,0.9725,0.9586,0.9356,0.9038,0.8635,0.8151,0.7593,0.6965,0.6278,0.554,0.4764,0.3964,0.3159,0.2373,0.164,0.09979,0.04809,
pal100,waccm_eq,391.5,1.159,1.153,1.137,1.11,1.072,1.024,0.967,0.9008,0.8264,0.7449,0.6575,0.5654,0.4705,0.375,0.2818,0.1947,0.1185,0.05708,
pal100,waccm_eq,392.5,0.8688,0.8647,0.8524,0.832,0.8038,0.768,0.7251,0.6755,0.6198,0.5587,0.4932,0.4242,0.3531,0.2815,0.2115,0.1462,0.08889,0.04282,
pal100,waccm_eq,393.5,0.3776,0.3758,0.3705,0.3616,0.3494,0.3339,0.3152,0.2937,0.2695,0.243,0.2145,0.1845,0.1536,0.1225,0.09205,0.0636,0.03867,0.01862,
pal100,waccm_eq,394.5,0.8883,0.8841,0.8716,0.8508,0.822,0.7855,0.7417,0.691,0.6342,0.5719,0.5049,0.4344,0.3617,0.2884,0.2168,0.1498,0.09105,0.04383,
pal100,waccm_eq,395.5,1.143,1.137,1.121,1.094,1.057,1.011,0.9542,0.8891,0.8161,0.736,0.6499,0.5592,0.4657,0.3714,0.2792,0.1929,0.1172,0.05641,
pal100,waccm_eq,396.5,0.6708,0.6676,0.6582,0.6425,0.6208,0.5933,0.5603,0.5221,0.4793,0.4323,0.3817,0.3285,0.2736,0.2183,0.1641,0.1134,0.06888,0.03313,
pal100,waccm_eq,397.5,0.7739,0.7702,0.7593,0.7413,0.7163,0.6846,0.6465,0.6025,0.5531,0.4989,0.4407,0.3793,0.316,0.2521,0.1896,0.131,0.07954,0.03825,
pal100,waccm_eq,398.5,1.329,1.323,1.304,1.274,1.231,1.176,1.111,1.035,0.9505,0.8575,0.7575,0.6521,0.5433,0.4335,0.326,0.2253,0.1368,0.06575,
pal100,waccm_eq,399.5,1.382,1.376,1.357,1.324,1.28,1.223,1.155,1.077,0.9888,0.8921,0.7882,0.6787,0.5655,0.4513,0.3395,0.2345,0.1424,0.06841,
pal100,waccm_eq,400.5,1.453,1.446,1.426,1.392,1.345,1.286,1.215,1.132,1.04,0.9381,0.8289,0.7138,0.5949,0.4749,0.3572,0.2468,0.1498,0.07195,
pal100,waccm_eq,401.5,1.495,1.488,1.467,1.432,1.384,1.323,1.25,1.165,1.07,0.9654,0.8532,0.7348,0.6125,0.489,0.3679,0.2541,0.1542,0.07404,
pal100,waccm_eq,402.5,1.551,1.544,1.522,1.486,1.437,1.373,1.297,1.209,1.111,1.003,0.8861,0.7632,0.6363,0.5081,0.3823,0.2641,0.1602,0.07689,
pal100,waccm_eq,403.5,1.42,1.413,1.393,1.36,1.315,1.257,1.187,1.107,1.017,0.9178,0.8113,0.699,0.5828,0.4654,0.3502,0.242,0.1467,0.0704,
pal100,waccm_eq,404.5,1.392,1.386,1.366,1.334,1.289,1.233,1.165,1.086,0.9975,0.9004,0.796,0.6859,0.572,0.4569,0.3438,0.2376,0.144,0.06908,
pal100,waccm_eq,405.5,1.446,1.439,1.419,1.385,1.339,1.28,1.21,1.128,1.036,0.9356,0.8272,0.7129,0.5946,0.475,0.3575,0.247,0.1497,0.07178,
pal100,waccm_eq,406.5,1.362,1.355,1.336,1.305,1.261,1.206,1.139,1.063,0.9762,0.8814,0.7794,0.6718,0.5604,0.4478,0.3371,0.2329,0.1411,0.06763,
pal100,waccm_eq,407.5,1.372,1.366,1.347,1.315,1.271,1.216,1.149,1.071,0.9844,0.8889,0.7861,0.6776,0.5654,0.4518,0.3402,0.235,0.1424,0.0682,
pal100,waccm_eq,408.5,1.528,1.521,1.5,1.465,1.416,1.354,1.279,1.193,1.096,0.9902,0.8758,0.7551,0.6301,0.5036,0.3792,0.262,0.1586,0.07597,
pal100,waccm_eq,409.5,1.498,1.491,1.47,1.435,1.388,1.327,1.254,1.17,1.075,0.9709,0.8589,0.7406,0.6181,0.4941,0.3721,0.2571,0.1556,0.07449,
pal100,waccm_eq,410.5,1.299,1.293,1.275,1.245,1.203,1.151,1.088,1.014,0.9324,0.8422,0.7451,0.6425,0.5363,0.4288,0.323,0.2231,0.1351,0.06462,
pal100,waccm_eq,411.5,1.561,1.553,1.532,1.496,1.446,1.383,1.307,1.219,1.121,1.013,0.8959,0.7727,0.6451,0.5158,0.3886,0.2685,0.1625,0.0777,
pal100,waccm_eq,412.5,1.546,1.539,1.518,1.482,1.433,1.371,1.296,1.209,1.111,1.004,0.8883,0.7662,0.6398,0.5117,0.3855,0.2664,0.1611,0.07705,
pal100,waccm_eq,413.5,1.5,1.493,1.472,1.437,1.39,1.329,1.256,1.172,1.078,0.9738,0.8618,0.7435,0.6209,0.4967,0.3743,0.2586,0.1564,0.07475,
