 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   0.210000000000000       CO2 =   4.000000000000000E-004
 
    CH4 =   2.806977011436352E-007
 Standard CH3CL flux =  2.370E+08

 PO2= 1.517E-01  PNO= 3.565E-02  ZAPNO= 3.768E+03
 N= 3     X= 6.98378E-01  ERR= 1.04173E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
   8.75E+06 6.06E-09 9.96E-10 6.55E-10 7.44E-09 2.99E-06 6.25E-04 2.57E-03 3.74E-05 3.03E-05 3.04E-05 2.27E-04
   9.05E+06 8.95E-09 1.73E-09 7.40E-10 8.08E-09 3.26E-06 6.12E-04 2.58E-03 3.74E-05 3.03E-05 3.04E-05 2.27E-04
   9.35E+06 1.37E-08 6.35E-09 8.23E-10 8.58E-09 3.49E-06 5.64E-04 2.64E-03 3.74E-05 3.03E-05 3.04E-05 2.28E-04
   9.65E+06 2.11E-08 1.95E-08 9.08E-10 9.18E-09 3.72E-06 5.27E-04 2.68E-03 3.75E-05 3.03E-05 3.04E-05 2.28E-04
   9.95E+06 3.07E-08 4.40E-08 9.96E-10 1.02E-08 3.99E-06 5.16E-04 2.69E-03 3.75E-05 3.03E-05 3.04E-05 2.28E-04

     Z      PCH4     PCH3OOH  PN2O     PHNO3    PNO      PNO2     PHNO4    PCCL3F   PCCL2F2  PCCL4    PCH3CL
   5.00E+04 0.00E+00 2.16E-06 5.20E-32 1.25E-07 2.07-145 3.02E-03 2.11E-06 1.13E-30 5.34E-32 4.05E-30 1.43E-34
   3.50E+05 0.00E+00 2.63E-06 2.44E-25 1.58E-07 2.88E-48 3.40E-03 2.64E-06 4.70E-24 3.13E-25 1.18E-23 3.43E-27
   6.50E+05 0.00E+00 2.95E-06 5.18E-20 1.83E-07 1.81E-27 3.66E-03 3.01E-06 8.81E-19 1.22E-19 1.37E-18 2.53E-21
   9.50E+05 0.00E+00 3.17E-06 3.64E-16 2.00E-07 1.20E-20 3.84E-03 3.27E-06 5.92E-15 1.04E-15 7.04E-15 2.33E-17
