 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =    2.1273000000000000E-002  CO2 =    2.8400000000000002E-004

    CH4 =    8.0800000000000004E-007
 Standard CH3CL flux =  0.000E+00

 PO2= 9.770E-03  PNO= 1.007E-02  ZAPNO= 1.064E+03
 N= 4     X= 3.48109E-01  ERR= 2.08558E-07

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0


 MIXING RATIOS OF LONG-LIVED SPECIES

 N =  58  EMAX = 5.51E-02 FOR HO2     AT Z = 9.55E+06 U = 2.21E-12 RHS =-1.22E-13  DT = 2.32E-02  TIME = 8.91E-02
 N =  61  EMAX = 6.57E-02 FOR HO2     AT Z = 9.55E+06 U = 1.84E-12 RHS =-1.21E-13  DT = 3.09E-02  TIME = 1.66E-01
 N =  64  EMAX = 7.40E-02 FOR HO2     AT Z = 9.55E+06 U = 1.49E-12 RHS =-1.10E-13  DT = 4.11E-02  TIME = 2.68E-01
 N =  67  EMAX = 7.58E-02 FOR HO2     AT Z = 9.55E+06 U = 1.18E-12 RHS =-8.93E-14  DT = 5.47E-02  TIME = 4.04E-01
 N =  70  EMAX = 7.19E-02 FOR HO2     AT Z = 8.95E+06 U = 1.13E-11 RHS =-8.16E-13  DT = 7.28E-02  TIME = 5.85E-01
 N =  73  EMAX = 6.82E-02 FOR HO2     AT Z = 8.75E+06 U = 2.79E-11 RHS =-1.90E-12  DT = 9.69E-02  TIME = 8.26E-01
 N =  76  EMAX = 6.60E-02 FOR HO2     AT Z = 8.65E+06 U = 4.33E-11 RHS =-2.86E-12  DT = 1.29E-01  TIME = 1.15E+00
 N =  79  EMAX = 6.40E-02 FOR HO2     AT Z = 8.55E+06 U = 7.31E-11 RHS =-4.68E-12  DT = 1.72E-01  TIME = 1.57E+00
 N =  82  EMAX = 6.18E-02 FOR HO2     AT Z = 8.45E+06 U = 1.35E-10 RHS =-8.35E-12  DT = 2.29E-01  TIME = 2.14E+00
 N =  85  EMAX = 5.85E-02 FOR NO2     AT Z = 9.95E+06 U = 1.49E-16 RHS =-8.69E-18  DT = 3.04E-01  TIME = 2.90E+00
 N =  88  EMAX = 5.94E-02 FOR HO2     AT Z = 8.35E+06 U = 2.35E-10 RHS =-1.40E-11  DT = 4.05E-01  TIME = 3.91E+00
 N =  91  EMAX = 5.58E-02 FOR HO2     AT Z = 8.25E+06 U = 5.85E-10 RHS =-3.27E-11  DT = 5.39E-01  TIME = 5.25E+00
 N =  94  EMAX = 5.80E-02 FOR HO2     AT Z = 8.25E+06 U = 4.91E-10 RHS =-2.84E-11  DT = 7.17E-01  TIME = 7.03E+00
 N =  97  EMAX = 5.63E-02 FOR NO2     AT Z = 8.45E+06 U = 9.28E-15 RHS =-5.22E-16  DT = 9.55E-01  TIME = 9.41E+00
 N = 100  EMAX = 5.79E-02 FOR NO2     AT Z = 8.45E+06 U = 7.77E-15 RHS =-4.50E-16  DT = 1.27E+00  TIME = 1.26E+01
 N = 103  EMAX = 6.16E-02 FOR NO2     AT Z = 8.35E+06 U = 1.87E-14 RHS =-1.15E-15  DT = 1.69E+00  TIME = 1.68E+01
 N = 106  EMAX = 6.08E-02 FOR NO2     AT Z = 8.25E+06 U = 7.31E-14 RHS =-4.45E-15  DT = 2.25E+00  TIME = 2.24E+01
 N = 109  EMAX = 6.60E-02 FOR NO2     AT Z = 8.25E+06 U = 6.02E-14 RHS =-3.97E-15  DT = 3.00E+00  TIME = 2.98E+01
 N = 112  EMAX = 6.34E-02 FOR NO2     AT Z = 8.25E+06 U = 4.91E-14 RHS =-3.11E-15  DT = 3.99E+00  TIME = 3.97E+01
 N = 115  EMAX = 7.15E-02 FOR NO3     AT Z = 6.95E+06 U = 1.14E-16 RHS =-8.18E-18  DT = 5.31E+00  TIME = 5.29E+01
 N = 118  EMAX = 8.24E-02 FOR NO3     AT Z = 6.95E+06 U = 9.03E-17 RHS =-7.45E-18  DT = 7.07E+00  TIME = 7.05E+01
 N = 121  EMAX = 8.89E-02 FOR NO3     AT Z = 6.95E+06 U = 6.92E-17 RHS =-6.15E-18  DT = 9.41E+00  TIME = 9.39E+01
 N = 124  EMAX = 8.66E-02 FOR NO3     AT Z = 6.95E+06 U = 5.23E-17 RHS =-4.53E-18  DT = 1.25E+01  TIME = 1.25E+02
 N = 127  EMAX = 9.48E-02 FOR NO2     AT Z = 7.95E+06 U = 3.49E-12 RHS =-3.30E-13  DT = 1.67E+01  TIME = 1.66E+02
 N = 130  EMAX = 9.50E-02 FOR NO2     AT Z = 7.85E+06 U = 3.88E-12 RHS =-3.69E-13  DT = 2.02E+01  TIME = 2.20E+02
 N = 133  EMAX = 9.94E-02 FOR CLO     AT Z = 7.85E+06 U = 2.01E-14 RHS =-2.00E-15  DT = 2.44E+01  TIME = 2.84E+02
 N = 136  EMAX = 1.03E-01 FOR CLO     AT Z = 7.85E+06 U = 1.44E-14 RHS =-1.49E-15  DT = 2.44E+01  TIME = 3.58E+02
 N = 139  EMAX = 9.96E-02 FOR CLO     AT Z = 7.85E+06 U = 1.04E-14 RHS =-1.04E-15  DT = 2.95E+01  TIME = 4.36E+02
 N = 142  EMAX = 9.58E-02 FOR CLO     AT Z = 7.85E+06 U = 7.64E-15 RHS =-7.32E-16  DT = 3.57E+01  TIME = 5.27E+02
